Join Name With Year,index,Name With Year,Previous Year Games Played,Previous Year Games Started,Previous Year Minutes Per Game,Previous Year Field Goals Per Game,Previous Year Field Goal Attempts Per Game,Previous Year Field Goal Percentage,Previous Year 3 Point Field Goals Per Game,Previous Year 3 Point Field Goal Attempts Per Game,Previous Year 3 Point Field Goal Percentage,Previous Year 2 Point Field Goals Per Game,Previous Year 2 Point Field Goal Attempts Per Game,Previous Year 2 Point Field Goal Percentage,Previous Year Effective Field Goal Percentage,Previous Year Free Throw Makes Per Game,Previous Year Free Throw Attempts Per Game,Previous Year Free Throw Percentage,Previous Year Offensive Rebounds Per Game,Previous Year Defensive Rebounds Per Game,Previous Year Total Rebounds Per Game,Previous Year Assists Per Game,Previous Year Steals Per Game,Previous Year Blocks Per Game,Previous Year Turnovers Per Game,Previous Year Personal Fouls Per Game,Previous Year Points Per Game,Previous Year Team,Previous Year Playoff Team,Previous Year Semifinal Team,Previous Year Final Team,Previous Year Bottom 6 Team,Previous Year Total Minutes Played,Previous Year Player Efficiency Rating,Previous Year True Shooting Percentage,Previous Year 3 Point Attempt Rate,Previous Year Free Throw Attempt Rate,Previous Year Offensive Rebound Percentage,Previous Year Defensive Rebound Percentage,Previous Year Total Rebound Percentage,Previous Year Assist Percentage,Previous Year Steal Percentage,Previous Year Block Percentage,Previous Year Turnover Percentage,Previous Year Usage Percentage,Previous Year Offensive Win Shares,Previous Year Defensive Win Shares,Previous Year Win Shares,Previous Year Win Shares Per 48 Minutes,Previous Year Offensive Box Plus/Minus,Previous Year Defensive Box Plus/Minus,Previous Year Box Plus/Minus,Previous Year Value Over Replacement Player,Previous Year Salary,Age,Years In League,Salary Cap,Luxury Tax Line,Position,Previous Year Team With Year,Previous Year Total Team Payroll,Salary Sums,Team Cap Space,Total NBA Cap Space,Target Salary,Target Salary Percentage Cap,Target Salary Percentage Luxury,Maximum Salary,Name.x,Year.x,Date,Team,Name,Notes,Tears,Year,Achilles,ACL,Meniscus,Meniscus Sum,Achilles Sum,ACL Sum,Tear Sum,Meniscus/Achilles/ACL Sum
2010 Brandon Bass,19,2009-10 Brandon Bass,81.0,0.0,19.4,3.1,6.3,0.496,0.0,0.1,0.0,0.0,0.1,0.0,0.496,2.2,2.6,0.867,1.6,2.9,4.5,0.5,0.3,0.7,1.1,1.7,8.5,DAL,1,0,0,0,1574.0,16.4,0.5710000000000001,0.012,0.413,9.5,17.2,13.4,4.3,0.9,2.6,12.5,20.0,2.5,1.6,4.1,0.124,-1.6,-0.6,-2.1,-0.1,826269.0,23.0,4.0,57700000,69920000,PF,2008-09 DAL,95045559.0,23997119.0,71048440.0,4634507665.0,4000000.0,0.06932409012131716,0.057208237986270026,13520500,Brandon Bass,2010,,,,,,,,,,,,,,
2010 Brian Skinner,55,2009-10 Brian Skinner,51.0,21.0,16.5,1.8,4.0,0.449,0.0,0.0,0.0,0.0,0.0,0.0,0.449,0.6,0.9,0.638,1.4,2.6,4.0,0.5,0.3,1.0,0.8,1.8,4.2,LAC,0,0,0,1,843.0,10.6,0.474,0.01,0.229,9.6,18.5,13.9,5.1,1.1,4.6,16.0,14.5,-0.3,0.7,0.4,0.024,-5.1,1.3,-3.8,-0.4,1262275.0,32.0,11.0,57700000,69920000,C,2008-09 LAC,62764206.0,2059856.0,60704350.0,4634507665.0,1306455.0,0.02264220103986135,0.0186849971395881,18928700,Brian Skinner,2010,,,,,,,,,,,,,,
2010 C.J. Watson,14,2009-10 C.J. Watson,77.0,18.0,24.5,3.3,7.3,0.457,0.6,1.6,0.4,0.6,1.6,0.4,0.5,2.2,2.5,0.87,0.5,2.0,2.5,2.7,1.2,0.1,1.2,1.8,9.5,GSW,0,0,0,0,1883.0,14.2,0.564,0.214,0.343,2.3,8.8,5.5,16.2,2.5,0.1,12.5,16.8,2.7,0.6,3.3,0.084,0.5,-1.5,-1.1,0.4,711517.0,24.0,2.0,57700000,69920000,PG,2008-09 GSW,67416431.0,1974037.0,65442394.0,4634507665.0,1000497.0,0.01733963604852686,0.0143091676201373,13520500,C.J. Watson,2010,,,,,,,,,,,,,,
2010 Channing Frye,0,2009-10 Channing Frye,63.0,1.0,11.8,1.8,4.2,0.423,0.2,0.5,0.333,0.2,0.5,0.333,0.444,0.4,0.6,0.722,0.7,1.6,2.2,0.4,0.3,0.3,0.5,1.7,4.2,POR,1,0,0,0,746.0,10.0,0.465,0.124,0.135,6.7,16.7,11.6,5.3,1.3,1.7,9.3,19.7,0.0,0.8,0.8,0.054000000000000006,-3.4,-0.8,-4.3,-0.4,3163769.0,25.0,4.0,57700000,69920000,C,2008-09 POR,80260059.0,3163769.0,77096290.0,4634507665.0,2000000.0,0.03466204506065858,0.028604118993135013,13520500,Channing Frye,2010,,,,,,,,,,,,,,
2010 Charlie Villanueva,24,2009-10 Charlie Villanueva,78.0,47.0,26.9,6.2,14.0,0.447,1.1,3.3,0.345,1.1,3.3,0.345,0.488,2.6,3.1,0.838,2.0,4.7,6.7,1.8,0.6,0.7,1.8,3.3,16.2,MIL,0,0,0,0,2095.0,18.6,0.529,0.237,0.22,8.3,21.6,14.7,12.4,1.2,2.2,10.4,28.5,2.2,2.7,4.9,0.112,1.0,-0.3,0.7,1.4,3448050.0,24.0,4.0,57700000,69920000,PF,2008-09 MIL,71360656.0,7458084.0,63902572.0,4634507665.0,6500000.0,0.11265164644714037,0.0929633867276888,13520500,Charlie Villanueva,2010,,,,,,,,,,,,,,
2010 Chris Andersen,12,2009-10 Chris Andersen,71.0,1.0,20.6,2.3,4.1,0.5479999999999999,0.0,0.1,0.2,0.0,0.1,0.2,0.551,1.8,2.5,0.718,2.3,3.9,6.2,0.4,0.6,2.5,1.0,2.5,6.4,DEN,1,1,0,0,1460.0,18.1,0.608,0.034,0.62,13.4,21.6,17.6,3.2,1.4,9.3,15.7,13.4,2.5,2.8,5.4,0.17600000000000002,-1.2,4.6,3.4,2.0,998398.0,30.0,7.0,57700000,69920000,C,2008-09 DEN,70121003.0,5012502.0,65108501.0,4634507665.0,3650000.0,0.0632582322357019,0.052202517162471394,16224600,Chris Andersen,2010,,,,,,,,,,,,,,
2010 Chris Wilcox,37,2009-10 Chris Wilcox,62.0,6.0,16.9,3.0,6.0,0.4970000000000001,0.0,0.1,0.0,0.0,0.1,0.0,0.4970000000000001,1.3,2.3,0.564,1.5,2.9,4.5,0.8,0.4,0.3,1.2,2.2,7.2,NYK,0,0,0,1,330.0,13.2,0.539,0.01,0.52,10.0,17.5,13.6,6.7,1.2,1.1,13.8,19.2,0.2,0.3,0.5,0.07,-2.9,-0.9,-3.8,-0.2,6750000.0,26.0,7.0,57700000,69920000,C,2008-09 NYK,96643646.0,10558212.0,86085434.0,4634507665.0,3000000.0,0.05199306759098787,0.04290617848970252,16224600,Chris Wilcox,2010,,,,,,,,,,,,,,
2010 Dahntay Jones,11,2009-10 Dahntay Jones,79.0,71.0,18.1,1.9,4.3,0.458,0.1,0.2,0.647,0.1,0.2,0.647,0.475,1.4,1.9,0.728,0.7,1.4,2.1,1.0,0.6,0.2,0.9,2.5,5.4,DEN,1,1,0,0,1426.0,9.0,0.5329999999999999,0.051,0.449,4.9,8.7,6.8,8.2,1.7,1.0,14.5,14.7,0.7,1.3,2.0,0.067,-2.3,0.0,-2.3,-0.1,926678.0,28.0,6.0,57700000,69920000,SF,2008-09 DEN,70121003.0,5012502.0,65108501.0,4634507665.0,2500000.0,0.043327556325823226,0.03575514874141877,13520500,Dahntay Jones,2010,,,,,,,,,,,,,,
2010 David Lee,17,2009-10 David Lee,81.0,74.0,34.9,6.4,11.7,0.5489999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.5489999999999999,3.1,4.1,0.755,3.2,8.6,11.7,2.1,1.0,0.3,1.9,3.2,16.0,NYK,0,0,0,1,2824.0,19.0,0.59,0.003,0.34700000000000003,9.6,27.9,18.4,10.1,1.4,0.6,12.0,19.2,5.9,3.1,9.0,0.154,0.4,1.1,1.5,2.5,1788033.0,25.0,4.0,57700000,69920000,PF,2008-09 NYK,96643646.0,10558212.0,86085434.0,4634507665.0,7000000.0,0.12131715771230503,0.10011441647597254,13520500,David Lee,2010,,,,,,,,,,,,,,
2010 Desmond Mason,71,2009-10 Desmond Mason,39.0,19.0,27.3,3.2,7.3,0.435,0.0,0.1,0.0,0.0,0.1,0.0,0.435,1.2,2.2,0.541,1.1,3.0,4.0,1.2,0.4,0.8,1.4,2.5,7.5,OKC,0,0,0,1,1064.0,7.1,0.456,0.011,0.298,4.4,12.8,8.5,6.7,0.7,2.1,14.8,15.7,-1.0,0.7,-0.3,-0.012,-5.0,0.1,-4.9,-0.8,5300000.0,31.0,9.0,57700000,69920000,SF,2008-09 OKC,68341605.0,11500000.0,56841605.0,4634507665.0,76850.0,0.0013318890814558058,0.0010991132723112127,16224600,Desmond Mason,2010,,,,,,,,,,,,,,
